id,Lat,Lng,Kingdom,Phylum,Class,Order,Family,Name,Year,Habitat
1,22.20611,114.2511,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Larimichthys crocea,1960,Coastal water
2,22.1624,114.2825,Chromista,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca scintillans,1971,Coastal water
3,22.20422,114.2589,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Johnius belangerii,1972,Coastal water
4,22.21408,114.2567,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pennahia anea,1972,Coastal water
5,22.219,114.2564,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pennahia argentata,1972,Coastal water
6,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Ceriosporopsis halima,1972,Coastal water
7,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Cirrenalia macrocephala,1972,Coastal water
8,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola alopallonella,1972,Coastal water
9,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lulworthia sp.,1972,Coastal water
10,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium achrasporum,1972,Coastal water
11,22.18173,114.3038,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Zalerion maritimum,1972,Coastal water
12,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Ceriosporopsis halima,1972,Coastal water
13,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Cirrenalia macrocephala,1972,Coastal water
14,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora maritima,1972,Coastal water
15,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Cytospora sp.,1972,Coastal water
16,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lulworthia sp.,1972,Coastal water
17,22.23443,114.1672,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Zalerion maritimum,1972,Coastal water
18,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Ceriosporopsis halima,1972,Coastal water
19,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Cirrenalia macrocephala,1972,Coastal water
20,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora maritima,1972,Coastal water
21,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora pulchella,1972,Coastal water
22,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Cytospora sp.,1972,Coastal water
23,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Haiyanga salina,1972,Coastal water
24,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola alopallonella,1972,Coastal water
25,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Lulworthia sp.,1972,Coastal water
26,22.31644,114.1432,Fungi,Ascomycota,Scordariomycetes,Sordariomycetes_incertae_sedis,Sordariomycetesincertaesedis,Papulaspora halima,1972,Coastal water
27,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium achrasporum,1972,Coastal water
28,22.31644,114.1432,Fungi,Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae,Zalerion varium,1972,Coastal water
29,22.36468,114.0073,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Ceriosporopsis halima,1972,Coastal water
